Date/Time,Power,Wind_speed,Theoretical_power,Loss,x_com,y_com,T_1
2018-12-18 15:00:00,1686.31634521484,7.977749109268185,1531.6009522086217,-154.71539300621836,5.9157743132622365,5.335386487065192,1254.1041870117162
2018-12-18 16:00:00,2954.6368001302067,10.487591584523486,2880.345550297908,-74.29124983229838,8.49800122100195,6.10882407005656,1686.31634521484
2018-12-18 17:00:00,2973.202148437498,10.527044932047493,3033.153424040354,59.95127560285505,8.671132197722374,5.957546468101367,2954.6368001302067
2018-12-18 18:00:00,3453.5548909505196,12.1143097877502,3527.270368032416,73.71547708189662,10.198077499210912,6.533969155485007,2973.202148437498
2018-12-18 19:00:00,3552.202636718747,12.939068158467565,3579.7345292038403,27.53189248509337,10.808907552407264,7.109749239515769,3453.5548909505196
2018-12-18 20:00:00,3583.5661214192683,13.779246489206884,3599.65388211302,16.087760693751687,11.569604858960433,7.467697113765634,3552.202636718747
2018-12-18 21:00:00,3570.719645182288,13.727923234303736,3570.829058359935,0.10941317764665352,12.427438906778448,5.828687474993441,3583.5661214192683
2018-12-18 22:00:00,3599.2283528645817,15.287325064341202,3600.0,0.7716471354183341,13.783101661240956,6.610436072618961,3570.719645182288
2018-12-18 23:00:00,3558.918823242185,14.099398295084598,3599.168854563077,40.25003132089167,12.687360112303194,6.09248860648457,3599.2283528645817
2018-12-19 00:00:00,3598.2013346354147,14.0442201296488,3598.5258554215684,0.32452078615339514,13.227791371166555,4.683875034628158,3558.918823242185
2018-12-19 01:00:00,3600.375854492185,14.647503534952783,3600.0,-0.3758544921849989,13.757666134960827,4.977177346188618,3598.2013346354147
2018-12-19 02:00:00,3540.72237141927,13.399588267008417,3592.8743011466486,52.15192972737858,12.876532083742239,3.6501204699448118,3600.375854492185
2018-12-19 03:00:00,3565.7384847005196,13.72326501210525,3600.0,34.26151529948,13.443136263238708,2.7547922120664166,3540.72237141927
2018-12-19 04:00:00,2636.9839680989567,13.47735150655105,3600.0,963.0160319010433,13.357707508024118,1.7687939708556832,3565.7384847005196
2018-12-19 05:00:00,2257.9827067057263,12.023125171661357,3340.444874275174,1082.4621675694468,11.918235658775197,1.4792432850530763,2636.9839680989567
2018-12-19 06:00:00,2216.9703776041647,12.316660086313817,3501.9480445956,1284.9776669914352,12.175126671819603,1.8529401515319535,2257.9827067057263
2018-12-19 07:00:00,2232.376546223955,11.871348222096701,3445.5568155614305,1213.180269337475,11.754710470745863,1.6569599969864652,2216.9703776041647
2018-12-19 08:00:00,1948.1414591471332,10.545445601145387,3075.1028967184207,1126.961437571287,10.524061618148691,-0.39276690155750593,2232.376546223955
2018-12-19 09:00:00,1601.4968465169216,11.137243270873983,3306.901940713442,1705.40509419652,11.124306961954382,-0.5306462608201779,1948.1414591471332
2018-12-19 10:00:00,777.884948730468,10.00668589274086,2747.7882797516068,1969.903331021139,9.993758407123051,-0.5046668515103566,1601.4968465169216
2018-12-19 11:00:00,662.5565185546869,9.141088803609208,2231.650353569015,1569.093835014328,9.132993211071232,-0.09979978077571033,777.884948730468
2018-12-19 12:00:00,609.0226796468095,8.493357578913368,1828.42949078261,1219.4068111358006,8.467075374161746,0.5411735522994569,662.5565185546869
2018-12-19 13:00:00,507.09449259440044,8.661718845367428,1934.0588983659065,1426.964405771506,8.59629573157015,1.0605641336506058,609.0226796468095
2018-12-19 14:00:00,431.25114949544246,8.538977781931555,1854.1122842657514,1422.861134770309,8.495408455071695,0.7654899516910799,507.09449259440044
2018-12-19 15:00:00,361.39928181966087,8.651788552602131,1924.4619578409267,1563.062676021266,8.480187505962109,1.7123725959577485,431.25114949544246
2018-12-19 16:00:00,332.70513407389285,9.18546899159749,2262.30406126471,1929.5989271908172,8.939638022972135,2.1040961629428945,361.39928181966087
2018-12-19 17:00:00,182.6899007161455,8.712143580118811,1962.3690037292583,1779.6791030131128,8.446842168985986,2.133029576281445,332.70513407389285
2018-12-19 18:00:00,35.52601027488708,8.025887250900265,1554.133181364075,1518.607171089188,7.787216654089795,1.939685289536154,182.6899007161455
2018-12-19 19:00:00,32.988438112395144,7.682401810373575,1445.032039677826,1412.0436015654311,7.254425653902982,2.0297300606250097,35.52601027488708
2018-12-19 20:00:00,30.45086594990321,7.338916369846886,1335.9308979915775,1305.4800320416741,6.721634653716169,2.1197748317138654,32.988438112395144
2018-12-19 21:00:00,27.913293787411277,6.995430929320196,1226.8297563053286,1198.9164625179174,6.188843653529357,2.2098196028027206,30.45086594990321
2018-12-19 22:00:00,25.375721624919343,6.6519454887935066,1117.72861461908,1092.3528929941606,5.656052653342544,2.2998643738915763,27.913293787411277
2018-12-19 23:00:00,22.83814946242741,6.3084600482668165,1008.6274729328311,985.7893234704037,5.123261653155732,2.389909144980432,25.375721624919343
